year,month,day,source_location,DETECTED CRIME,negative,neutral,positive,total,neg_ratio
2019,4,23,Aberdeenshire,1,0,0,1,1,0.0
2019,4,24,Aberdeenshire,3,0,0,1,1,0.0
2019,4,25,Aberdeenshire,4,0,0,1,1,0.0
2019,4,26,Aberdeenshire,4,0,0,1,1,0.0
2019,4,27,Aberdeenshire,4,0,0,1,1,0.0
2019,4,28,Aberdeenshire,3,0,0,1,1,0.0
2019,4,29,Aberdeenshire,4,0,0,1,1,0.0
2019,4,30,Aberdeenshire,3,0,0,1,1,0.0
2019,4,1,Angus,2,0,0,0,0,0.0
2019,4,2,Angus,2,0,0,0,0,0.0
2019,4,3,Angus,1,0,0,0,0,0.0
2019,4,4,Angus,0,0,0,0,0,0.0
2019,4,5,Angus,1,0,0,0,0,0.0
2019,4,6,Angus,0,0,0,0,0,0.0
2019,4,7,Angus,3,0,0,0,0,0.0
2019,4,8,Angus,1,0,0,0,0,0.0
2019,4,9,Angus,1,0,0,0,0,0.0
2019,4,10,Angus,1,0,0,0,0,0.0
2019,4,11,Angus,2,0,0,0,0,0.0
2019,4,12,Angus,2,0,0,0,0,0.0
2019,4,13,Angus,3,0,0,0,0,0.0
2019,4,14,Angus,1,0,0,0,0,0.0
2019,4,15,Angus,2,0,0,0,0,0.0
2019,4,16,Angus,1,0,0,0,0,0.0
2019,4,17,Angus,0,0,0,0,0,0.0
2019,4,18,Angus,0,0,0,0,0,0.0
2019,4,19,Angus,2,0,0,0,0,0.0
2019,4,20,Angus,2,0,0,0,0,0.0
2019,4,21,Angus,2,0,0,0,0,0.0
2019,4,22,Angus,1,0,0,0,0,0.0
2019,4,23,Angus,0,0,0,0,0,0.0
2019,4,24,Angus,0,0,0,0,0,0.0
2019,4,25,Angus,3,0,0,0,0,0.0
2019,4,26,Angus,3,0,0,0,0,0.0
2019,4,27,Angus,0,0,0,0,0,0.0
2019,4,28,Angus,3,0,0,0,0,0.0
2019,4,29,Angus,2,0,0,0,0,0.0
2019,4,30,Angus,1,0,0,0,0,0.0
2019,4,1,Argyll and Bute,2,0,1,0,1,0.0
2019,4,2,Argyll and Bute,3,0,1,0,1,0.0
2019,4,3,Argyll and Bute,2,0,1,0,1,0.0
2019,4,4,Argyll and Bute,3,0,1,0,1,0.0
2019,4,5,Argyll and Bute,3,0,1,0,1,0.0
2019,4,6,Argyll and Bute,3,0,1,0,1,0.0
2019,4,7,Argyll and Bute,2,0,1,0,1,0.0
2019,4,8,Argyll and Bute,1,0,1,0,1,0.0
2019,4,9,Argyll and Bute,1,0,1,0,1,0.0
2019,4,10,Argyll and Bute,2,0,1,0,1,0.0
2019,4,11,Argyll and Bute,3,0,1,0,1,0.0
2019,4,12,Argyll and Bute,3,0,1,0,1,0.0
2019,4,13,Argyll and Bute,1,0,1,0,1,0.0
2019,4,14,Argyll and Bute,1,0,1,0,1,0.0
2019,4,15,Argyll and Bute,3,0,1,0,1,0.0
2019,4,16,Argyll and Bute,3,0,1,0,1,0.0
2019,4,17,Argyll and Bute,1,0,1,0,1,0.0
2019,4,18,Argyll and Bute,1,0,1,0,1,0.0
2019,4,19,Argyll and Bute,4,0,1,0,1,0.0
2019,4,20,Argyll and Bute,2,0,1,0,1,0.0
2019,4,21,Argyll and Bute,3,0,1,0,1,0.0
2019,4,22,Argyll and Bute,3,0,1,0,1,0.0
2019,4,23,Argyll and Bute,2,0,1,0,1,0.0
2019,4,24,Argyll and Bute,4,0,1,0,1,0.0
2019,4,25,Argyll and Bute,1,0,1,0,1,0.0
2019,4,26,Argyll and Bute,2,0,1,0,1,0.0
2019,4,27,Argyll and Bute,3,0,1,0,1,0.0
2019,4,28,Argyll and Bute,1,0,1,0,1,0.0
2019,4,29,Argyll and Bute,1,0,1,0,1,0.0
2019,4,30,Argyll and Bute,1,0,1,0,1,0.0
2019,4,1,Clackmannanshire,1,0,0,0,0,0.0
2019,4,2,Clackmannanshire,0,0,0,0,0,0.0
2019,4,3,Clackmannanshire,3,0,0,0,0,0.0
2019,4,4,Clackmannanshire,3,0,0,0,0,0.0
2019,4,5,Clackmannanshire,2,0,0,0,0,0.0
2019,4,6,Clackmannanshire,2,0,0,0,0,0.0
2019,4,7,Clackmannanshire,2,0,0,0,0,0.0
2019,4,8,Clackmannanshire,0,0,0,0,0,0.0
2019,4,9,Clackmannanshire,1,0,0,0,0,0.0
2019,4,10,Clackmannanshire,1,0,0,0,0,0.0
2019,4,11,Clackmannanshire,0,0,0,0,0,0.0
2019,4,12,Clackmannanshire,2,0,0,0,0,0.0
2019,4,13,Clackmannanshire,2,0,0,0,0,0.0
2019,4,14,Clackmannanshire,0,0,0,0,0,0.0
2019,4,15,Clackmannanshire,2,0,0,0,0,0.0
2019,4,16,Clackmannanshire,0,0,0,0,0,0.0
2019,4,17,Clackmannanshire,0,0,0,0,0,0.0
2019,4,18,Clackmannanshire,0,0,0,0,0,0.0
2019,4,19,Clackmannanshire,2,0,0,0,0,0.0
2019,4,20,Clackmannanshire,1,0,0,0,0,0.0
2019,4,21,Clackmannanshire,1,0,0,0,0,0.0
2019,4,22,Clackmannanshire,3,0,0,0,0,0.0
2019,4,23,Clackmannanshire,2,0,0,0,0,0.0
2019,4,24,Clackmannanshire,0,0,0,0,0,0.0
2019,4,25,Clackmannanshire,0,0,0,0,0,0.0
2019,4,26,Clackmannanshire,1,0,0,0,0,0.0
2019,4,27,Clackmannanshire,2,0,0,0,0,0.0
2019,4,28,Clackmannanshire,1,0,0,0,0,0.0
2019,4,29,Clackmannanshire,2,0,0,0,0,0.0
2019,4,30,Clackmannanshire,1,0,0,0,0,0.0
2019,4,1,Dumfries and Galloway,3,1,0,0,1,1.0
2019,4,2,Dumfries and Galloway,3,1,0,0,1,1.0
2019,4,3,Dumfries and Galloway,4,1,0,0,1,1.0
2019,4,4,Dumfries and Galloway,4,1,0,0,1,1.0
2019,4,5,Dumfries and Galloway,0,1,0,0,1,1.0
2019,4,6,Dumfries and Galloway,3,1,0,0,1,1.0
2019,4,7,Dumfries and Galloway,6,1,0,0,1,1.0
2019,4,8,Dumfries and Galloway,6,1,0,0,1,1.0
2019,4,9,Dumfries and Galloway,4,1,0,0,1,1.0
2019,4,10,Dumfries and Galloway,2,1,0,0,1,1.0
2019,4,11,Dumfries and Galloway,5,1,0,0,1,1.0
2019,4,12,Dumfries and Galloway,3,1,0,0,1,1.0
2019,4,13,Dumfries and Galloway,3,1,0,0,1,1.0
2019,4,14,Dumfries and Galloway,3,1,0,0,1,1.0
2019,4,15,Dumfries and Galloway,3,1,0,0,1,1.0
2019,4,16,Dumfries and Galloway,3,1,0,0,1,1.0
2019,4,17,Dumfries and Galloway,6,1,0,0,1,1.0
2019,4,18,Dumfries and Galloway,4,1,0,0,1,1.0
2019,4,19,Dumfries and Galloway,3,1,0,0,1,1.0
2019,4,20,Dumfries and Galloway,2,1,0,0,1,1.0
2019,4,21,Dumfries and Galloway,3,1,0,0,1,1.0
2019,4,22,Dumfries and Galloway,2,1,0,0,1,1.0
2019,4,23,Dumfries and Galloway,3,1,0,0,1,1.0
2019,4,24,Dumfries and Galloway,3,1,0,0,1,1.0
2019,4,25,Dumfries and Galloway,6,1,0,0,1,1.0
2019,4,26,Dumfries and Galloway,6,1,0,0,1,1.0
2019,4,27,Dumfries and Galloway,5,1,0,0,1,1.0
2019,4,28,Dumfries and Galloway,4,1,0,0,1,1.0
2019,4,29,Dumfries and Galloway,3,1,0,0,1,1.0
2019,4,30,Dumfries and Galloway,2,1,0,0,1,1.0
2019,4,1,Dundee City,5,1,0,0,1,1.0
2019,4,2,Dundee City,4,1,0,0,1,1.0
2019,4,3,Dundee City,5,1,0,0,1,1.0
2019,4,4,Dundee City,3,1,0,0,1,1.0
2019,4,5,Dundee City,2,1,0,0,1,1.0
2019,4,6,Dundee City,3,1,0,0,1,1.0
2019,4,7,Dundee City,4,1,0,0,1,1.0
2019,4,8,Dundee City,5,1,0,0,1,1.0
2019,4,9,Dundee City,4,1,0,0,1,1.0
2019,4,10,Dundee City,3,1,0,0,1,1.0
2019,4,11,Dundee City,7,1,0,0,1,1.0
2019,4,12,Dundee City,3,1,0,0,1,1.0
2019,4,13,Dundee City,4,1,0,0,1,1.0
2019,4,14,Dundee City,4,1,0,0,1,1.0
2019,4,15,Dundee City,2,1,0,0,1,1.0
2019,4,16,Dundee City,3,1,0,0,1,1.0
2019,4,17,Dundee City,2,1,0,0,1,1.0
2019,4,18,Dundee City,2,1,0,0,1,1.0
2019,4,19,Dundee City,5,1,0,0,1,1.0
2019,4,20,Dundee City,5,1,0,0,1,1.0
2019,4,21,Dundee City,3,1,0,0,1,1.0
2019,4,22,Dundee City,3,1,0,0,1,1.0
2019,4,23,Dundee City,3,1,0,0,1,1.0
2019,4,24,Dundee City,4,1,0,0,1,1.0
2019,4,25,Dundee City,4,1,0,0,1,1.0
2019,4,26,Dundee City,3,1,0,0,1,1.0
2019,4,27,Dundee City,4,1,0,0,1,1.0
2019,4,28,Dundee City,4,1,0,0,1,1.0
2019,4,29,Dundee City,5,1,0,0,1,1.0
2019,4,30,Dundee City,4,1,0,0,1,1.0
2019,4,1,East Ayrshire,2,1,0,0,1,1.0
2019,4,2,East Ayrshire,5,1,0,0,1,1.0
2019,4,3,East Ayrshire,2,1,0,0,1,1.0
2019,4,4,East Ayrshire,4,1,0,0,1,1.0
2019,4,5,East Ayrshire,3,1,0,0,1,1.0
2019,4,6,East Ayrshire,4,1,0,0,1,1.0
2019,4,7,East Ayrshire,4,1,0,0,1,1.0
2019,4,8,East Ayrshire,4,1,0,0,1,1.0
2019,4,9,East Ayrshire,3,1,0,0,1,1.0
2019,4,10,East Ayrshire,3,1,0,0,1,1.0
2019,4,11,East Ayrshire,2,1,0,0,1,1.0
2019,4,12,East Ayrshire,4,1,0,0,1,1.0
2019,4,13,East Ayrshire,2,1,0,0,1,1.0
2019,4,14,East Ayrshire,2,1,0,0,1,1.0
2019,4,15,East Ayrshire,4,1,0,0,1,1.0
2019,4,16,East Ayrshire,4,1,0,0,1,1.0
2019,4,17,East Ayrshire,2,1,0,0,1,1.0
2019,4,18,East Ayrshire,4,1,0,0,1,1.0
2019,4,19,East Ayrshire,3,1,0,0,1,1.0
2019,4,20,East Ayrshire,4,1,0,0,1,1.0
2019,4,21,East Ayrshire,2,1,0,0,1,1.0
2019,4,22,East Ayrshire,2,1,0,0,1,1.0
2019,4,23,East Ayrshire,4,1,0,0,1,1.0
2019,4,24,East Ayrshire,2,1,0,0,1,1.0
2019,4,25,East Ayrshire,4,1,0,0,1,1.0
2019,4,26,East Ayrshire,3,1,0,0,1,1.0
2019,4,27,East Ayrshire,3,1,0,0,1,1.0
2019,4,28,East Ayrshire,3,1,0,0,1,1.0
2019,4,29,East Ayrshire,4,1,0,0,1,1.0
2019,4,30,East Ayrshire,2,1,0,0,1,1.0
2019,4,1,East Dunbartonshire,0,0,0,0,0,0.0
2019,4,2,East Dunbartonshire,1,0,0,0,0,0.0
2019,4,3,East Dunbartonshire,0,0,0,0,0,0.0
2019,4,4,East Dunbartonshire,1,0,0,0,0,0.0
2019,4,5,East Dunbartonshire,1,0,0,0,0,0.0
2019,4,6,East Dunbartonshire,2,0,0,0,0,0.0
2019,4,7,East Dunbartonshire,0,0,0,0,0,0.0
2019,4,8,East Dunbartonshire,0,0,0,0,0,0.0
2019,4,9,East Dunbartonshire,2,0,0,0,0,0.0
2019,4,10,East Dunbartonshire,2,0,0,0,0,0.0
2019,4,11,East Dunbartonshire,2,0,0,0,0,0.0
2019,4,12,East Dunbartonshire,1,0,0,0,0,0.0
2019,4,13,East Dunbartonshire,1,0,0,0,0,0.0
2019,4,14,East Dunbartonshire,0,0,0,0,0,0.0
2019,4,15,East Dunbartonshire,2,0,0,0,0,0.0
2019,4,16,East Dunbartonshire,2,0,0,0,0,0.0
2019,4,17,East Dunbartonshire,1,0,0,0,0,0.0
2019,4,18,East Dunbartonshire,2,0,0,0,0,0.0
2019,4,19,East Dunbartonshire,1,0,0,0,0,0.0
2019,4,20,East Dunbartonshire,2,0,0,0,0,0.0
2019,4,21,East Dunbartonshire,1,0,0,0,0,0.0
2019,4,22,East Dunbartonshire,2,0,0,0,0,0.0
2019,4,23,East Dunbartonshire,0,0,0,0,0,0.0
2019,4,24,East Dunbartonshire,0,0,0,0,0,0.0
2019,4,25,East Dunbartonshire,2,0,0,0,0,0.0
2019,4,26,East Dunbartonshire,1,0,0,0,0,0.0
2019,4,27,East Dunbartonshire,1,0,0,0,0,0.0
2019,4,28,East Dunbartonshire,1,0,0,0,0,0.0
2019,4,29,East Dunbartonshire,0,0,0,0,0,0.0
2019,4,30,East Dunbartonshire,-1,0,0,0,0,0.0
2019,4,1,East Lothian,1,1,1,0,2,0.5
2019,4,2,East Lothian,1,1,1,0,2,0.5
2019,4,3,East Lothian,1,1,1,0,2,0.5
2019,4,4,East Lothian,1,1,1,0,2,0.5
2019,4,5,East Lothian,2,1,1,0,2,0.5
2019,4,6,East Lothian,2,1,1,0,2,0.5
2019,4,7,East Lothian,1,1,1,0,2,0.5
2019,4,8,East Lothian,0,1,1,0,2,0.5
2019,4,9,East Lothian,2,1,1,0,2,0.5
2019,4,10,East Lothian,2,1,1,0,2,0.5
2019,4,11,East Lothian,2,1,1,0,2,0.5
2019,4,12,East Lothian,2,1,1,0,2,0.5
2019,4,13,East Lothian,3,1,1,0,2,0.5
2019,4,14,East Lothian,2,1,1,0,2,0.5
2019,4,15,East Lothian,1,1,1,0,2,0.5
2019,4,16,East Lothian,0,1,1,0,2,0.5
2019,4,17,East Lothian,0,1,1,0,2,0.5
2019,4,18,East Lothian,0,1,1,0,2,0.5
2019,4,19,East Lothian,1,1,1,0,2,0.5
2019,4,20,East Lothian,2,1,1,0,2,0.5
2019,4,21,East Lothian,1,1,1,0,2,0.5
2019,4,22,East Lothian,1,1,1,0,2,0.5
2019,4,23,East Lothian,1,1,1,0,2,0.5
2019,4,24,East Lothian,2,1,1,0,2,0.5
2019,4,25,East Lothian,0,1,1,0,2,0.5
2019,4,26,East Lothian,3,1,1,0,2,0.5
2019,4,27,East Lothian,1,1,1,0,2,0.5
2019,4,28,East Lothian,1,1,1,0,2,0.5
2019,4,29,East Lothian,2,1,1,0,2,0.5
2019,4,30,East Lothian,1,1,1,0,2,0.5
2019,4,1,East Renfrewshire,1,1,0,0,1,1.0
2019,4,2,East Renfrewshire,0,1,0,0,1,1.0
2019,4,3,East Renfrewshire,0,1,0,0,1,1.0
2019,4,4,East Renfrewshire,0,1,0,0,1,1.0
2019,4,5,East Renfrewshire,0,1,0,0,1,1.0
2019,4,6,East Renfrewshire,2,1,0,0,1,1.0
2019,4,7,East Renfrewshire,0,1,0,0,1,1.0
2019,4,8,East Renfrewshire,3,1,0,0,1,1.0
2019,4,9,East Renfrewshire,0,1,0,0,1,1.0
2019,4,10,East Renfrewshire,0,1,0,0,1,1.0
2019,4,11,East Renfrewshire,0,1,0,0,1,1.0
2019,4,12,East Renfrewshire,0,1,0,0,1,1.0
2019,4,13,East Renfrewshire,0,1,0,0,1,1.0
2019,4,14,East Renfrewshire,0,1,0,0,1,1.0
2019,4,15,East Renfrewshire,2,1,0,0,1,1.0
2019,4,16,East Renfrewshire,0,1,0,0,1,1.0
2019,4,17,East Renfrewshire,0,1,0,0,1,1.0
2019,4,18,East Renfrewshire,1,1,0,0,1,1.0
2019,4,19,East Renfrewshire,0,1,0,0,1,1.0
2019,4,20,East Renfrewshire,0,1,0,0,1,1.0
2019,4,21,East Renfrewshire,1,1,0,0,1,1.0
2019,4,22,East Renfrewshire,1,1,0,0,1,1.0
2019,4,23,East Renfrewshire,2,1,0,0,1,1.0
2019,4,24,East Renfrewshire,1,1,0,0,1,1.0
2019,4,25,East Renfrewshire,3,1,0,0,1,1.0
2019,4,26,East Renfrewshire,2,1,0,0,1,1.0
2019,4,27,East Renfrewshire,0,1,0,0,1,1.0
2019,4,28,East Renfrewshire,2,1,0,0,1,1.0
2019,4,29,East Renfrewshire,3,1,0,0,1,1.0
2019,4,30,East Renfrewshire,-1,1,0,0,1,1.0
2019,4,1,City of Edinburgh,12,5,6,0,11,0.4545454545
2019,4,2,City of Edinburgh,10,5,6,0,11,0.4545454545
2019,4,3,City of Edinburgh,11,5,6,0,11,0.4545454545
2019,4,4,City of Edinburgh,9,5,6,0,11,0.4545454545
2019,4,5,City of Edinburgh,10,5,6,0,11,0.4545454545
2019,4,6,City of Edinburgh,10,5,6,0,11,0.4545454545
2019,4,7,City of Edinburgh,8,5,6,0,11,0.4545454545
2019,4,8,City of Edinburgh,9,5,6,0,11,0.4545454545
2019,4,9,City of Edinburgh,8,5,6,0,11,0.4545454545
2019,4,10,City of Edinburgh,10,5,6,0,11,0.4545454545
2019,4,11,City of Edinburgh,8,5,6,0,11,0.4545454545
2019,4,12,City of Edinburgh,7,5,6,0,11,0.4545454545
2019,4,13,City of Edinburgh,9,5,6,0,11,0.4545454545
2019,4,14,City of Edinburgh,9,5,6,0,11,0.4545454545
2019,4,15,City of Edinburgh,8,5,6,0,11,0.4545454545
2019,4,16,City of Edinburgh,7,5,6,0,11,0.4545454545
2019,4,17,City of Edinburgh,8,5,6,0,11,0.4545454545
2019,4,18,City of Edinburgh,8,5,6,0,11,0.4545454545
2019,4,19,City of Edinburgh,8,5,6,0,11,0.4545454545
2019,4,20,City of Edinburgh,8,5,6,0,11,0.4545454545
2019,4,21,City of Edinburgh,9,5,6,0,11,0.4545454545
2019,4,22,City of Edinburgh,7,5,6,0,11,0.4545454545
2019,4,23,City of Edinburgh,12,5,6,0,11,0.4545454545
2019,4,24,City of Edinburgh,8,5,6,0,11,0.4545454545
2019,4,25,City of Edinburgh,10,5,6,0,11,0.4545454545
2019,4,26,City of Edinburgh,10,5,6,0,11,0.4545454545
2019,4,27,City of Edinburgh,11,5,6,0,11,0.4545454545
2019,4,28,City of Edinburgh,8,5,6,0,11,0.4545454545
2019,4,29,City of Edinburgh,7,5,6,0,11,0.4545454545
2019,4,30,City of Edinburgh,10,5,6,0,11,0.4545454545
2019,4,1,Falkirk,8,0,0,0,0,0.0
2019,4,2,Falkirk,6,0,0,0,0,0.0
2019,4,3,Falkirk,6,0,0,0,0,0.0
2019,4,4,Falkirk,5,0,0,0,0,0.0
2019,4,5,Falkirk,5,0,0,0,0,0.0
2019,4,6,Falkirk,6,0,0,0,0,0.0
2019,4,7,Falkirk,4,0,0,0,0,0.0
2019,4,8,Falkirk,4,0,0,0,0,0.0
2019,4,9,Falkirk,4,0,0,0,0,0.0
2019,4,10,Falkirk,4,0,0,0,0,0.0
2019,4,11,Falkirk,5,0,0,0,0,0.0
2019,4,12,Falkirk,5,0,0,0,0,0.0
2019,4,13,Falkirk,6,0,0,0,0,0.0
2019,4,14,Falkirk,6,0,0,0,0,0.0
2019,4,15,Falkirk,6,0,0,0,0,0.0
2019,4,16,Falkirk,6,0,0,0,0,0.0
2019,4,17,Falkirk,5,0,0,0,0,0.0
2019,4,18,Falkirk,5,0,0,0,0,0.0
2019,4,19,Falkirk,5,0,0,0,0,0.0
2019,4,20,Falkirk,4,0,0,0,0,0.0
2019,4,21,Falkirk,6,0,0,0,0,0.0
2019,4,22,Falkirk,6,0,0,0,0,0.0
2019,4,23,Falkirk,4,0,0,0,0,0.0
2019,4,24,Falkirk,5,0,0,0,0,0.0
2019,4,25,Falkirk,5,0,0,0,0,0.0
2019,4,26,Falkirk,5,0,0,0,0,0.0
2019,4,27,Falkirk,4,0,0,0,0,0.0
2019,4,28,Falkirk,6,0,0,0,0,0.0
2019,4,29,Falkirk,6,0,0,0,0,0.0
2019,4,30,Falkirk,4,0,0,0,0,0.0
2019,4,1,Fife,7,1,2,0,3,0.33333333330000003
2019,4,2,Fife,5,1,2,0,3,0.33333333330000003
2019,4,3,Fife,7,1,2,0,3,0.33333333330000003
2019,4,4,Fife,7,1,2,0,3,0.33333333330000003
2019,4,5,Fife,7,1,2,0,3,0.33333333330000003
2019,4,6,Fife,8,1,2,0,3,0.33333333330000003
2019,4,7,Fife,7,1,2,0,3,0.33333333330000003
2019,4,8,Fife,8,1,2,0,3,0.33333333330000003
2019,4,9,Fife,8,1,2,0,3,0.33333333330000003
2019,4,10,Fife,8,1,2,0,3,0.33333333330000003
2019,4,11,Fife,7,1,2,0,3,0.33333333330000003
2019,4,12,Fife,6,1,2,0,3,0.33333333330000003
2019,4,13,Fife,8,1,2,0,3,0.33333333330000003
2019,4,14,Fife,8,1,2,0,3,0.33333333330000003
2019,4,15,Fife,11,1,2,0,3,0.33333333330000003
2019,4,16,Fife,10,1,2,0,3,0.33333333330000003
2019,4,17,Fife,7,1,2,0,3,0.33333333330000003
2019,4,18,Fife,9,1,2,0,3,0.33333333330000003
2019,4,19,Fife,6,1,2,0,3,0.33333333330000003
2019,4,20,Fife,7,1,2,0,3,0.33333333330000003
2019,4,21,Fife,6,1,2,0,3,0.33333333330000003
2019,4,22,Fife,8,1,2,0,3,0.33333333330000003
2019,4,23,Fife,8,1,2,0,3,0.33333333330000003
2019,4,24,Fife,5,1,2,0,3,0.33333333330000003
2019,4,25,Fife,7,1,2,0,3,0.33333333330000003
2019,4,26,Fife,6,1,2,0,3,0.33333333330000003
2019,4,27,Fife,6,1,2,0,3,0.33333333330000003
2019,4,28,Fife,8,1,2,0,3,0.33333333330000003
2019,4,29,Fife,6,1,2,0,3,0.33333333330000003
2019,4,30,Fife,8,1,2,0,3,0.33333333330000003
2019,4,1,Glasgow City,18,14,5,3,22,0.6363636364
2019,4,2,Glasgow City,17,14,5,3,22,0.6363636364
2019,4,3,Glasgow City,18,14,5,3,22,0.6363636364
2019,4,4,Glasgow City,16,14,5,3,22,0.6363636364
2019,4,5,Glasgow City,18,14,5,3,22,0.6363636364
2019,4,6,Glasgow City,17,14,5,3,22,0.6363636364
2019,4,7,Glasgow City,19,14,5,3,22,0.6363636364
2019,4,8,Glasgow City,16,14,5,3,22,0.6363636364
2019,4,9,Glasgow City,18,14,5,3,22,0.6363636364
2019,4,10,Glasgow City,18,14,5,3,22,0.6363636364
2019,4,11,Glasgow City,17,14,5,3,22,0.6363636364
2019,4,12,Glasgow City,17,14,5,3,22,0.6363636364
2019,4,13,Glasgow City,17,14,5,3,22,0.6363636364
2019,4,14,Glasgow City,17,14,5,3,22,0.6363636364
2019,4,15,Glasgow City,16,14,5,3,22,0.6363636364
2019,4,16,Glasgow City,17,14,5,3,22,0.6363636364
2019,4,17,Glasgow City,16,14,5,3,22,0.6363636364
2019,4,18,Glasgow City,17,14,5,3,22,0.6363636364
2019,4,19,Glasgow City,17,14,5,3,22,0.6363636364
2019,4,20,Glasgow City,18,14,5,3,22,0.6363636364
2019,4,21,Glasgow City,16,14,5,3,22,0.6363636364
2019,4,22,Glasgow City,18,14,5,3,22,0.6363636364
2019,4,23,Glasgow City,17,14,5,3,22,0.6363636364
2019,4,24,Glasgow City,17,14,5,3,22,0.6363636364
2019,4,25,Glasgow City,16,14,5,3,22,0.6363636364
2019,4,26,Glasgow City,17,14,5,3,22,0.6363636364
2019,4,27,Glasgow City,16,14,5,3,22,0.6363636364
2019,4,28,Glasgow City,16,14,5,3,22,0.6363636364
2019,4,29,Glasgow City,17,14,5,3,22,0.6363636364
2019,4,30,Glasgow City,18,14,5,3,22,0.6363636364
2019,4,1,Highland,6,2,2,1,5,0.4
2019,4,2,Highland,2,2,2,1,5,0.4
2019,4,3,Highland,3,2,2,1,5,0.4
2019,4,4,Highland,6,2,2,1,5,0.4
2019,4,5,Highland,7,2,2,1,5,0.4
2019,4,6,Highland,3,2,2,1,5,0.4
2019,4,7,Highland,3,2,2,1,5,0.4
2019,4,8,Highland,4,2,2,1,5,0.4
2019,4,9,Highland,2,2,2,1,5,0.4
2019,4,10,Highland,3,2,2,1,5,0.4
2019,4,11,Highland,2,2,2,1,5,0.4
2019,4,12,Highland,5,2,2,1,5,0.4
2019,4,13,Highland,3,2,2,1,5,0.4
2019,4,14,Highland,4,2,2,1,5,0.4
2019,4,15,Highland,4,2,2,1,5,0.4
2019,4,16,Highland,5,2,2,1,5,0.4
2019,4,17,Highland,2,2,2,1,5,0.4
2019,4,18,Highland,5,2,2,1,5,0.4
2019,4,19,Highland,4,2,2,1,5,0.4
2019,4,20,Highland,4,2,2,1,5,0.4
2019,4,21,Highland,2,2,2,1,5,0.4
2019,4,22,Highland,3,2,2,1,5,0.4
2019,4,23,Highland,2,2,2,1,5,0.4
2019,4,24,Highland,6,2,2,1,5,0.4
2019,4,25,Highland,4,2,2,1,5,0.4
2019,4,26,Highland,4,2,2,1,5,0.4
2019,4,27,Highland,4,2,2,1,5,0.4
